car-name,Brand,showroom_price,no_of_years,No_of_kilometers,second_hand_price,type
Tiago,Tata,8.9,4,30000,6.16,
Tiago,Tata,8.9,4,50000,5.75,
Tiago,Tata,8.9,4,80000,5.54,
Tiago,Tata,8.9,5,30000,6.5,
Tiago,Tata,8.9,5,50000,5.86,
Tiago,Tata,8.9,5,80000,5.85,
Tiago,Tata,8.9,6,30000,6.4,
Tiago,Tata,8.9,6,50000,6.09,
Tiago,Tata,8.9,6,80000,6.22,
Tiago,Tata,8.9,7,30000,4.77,
Tiago,Tata,8.9,7,50000,5.68,
Tiago,Tata,8.9,7,80000,5.67,
Tiago,Tata,8.9,8,30000,4.49,
Tiago,Tata,8.9,8,50000,4.14,
Tiago,Tata,8.9,8,80000,4.54,
Tigor,Tata,10.5,4,30000,6.89,
Tigor,Tata,10.5,4,50000,6.39,
Tigor,Tata,10.5,4,80000,6.14,
Tigor,Tata,10.5,5,30000,6.33,
Tigor,Tata,10.5,5,50000,6.24,
Tigor,Tata,10.5,5,80000,5.94,
Tigor,Tata,10.5,6,30000,6.28,
Tigor,Tata,10.5,6,50000,6.03,
Tigor,Tata,10.5,6,80000,5.81,
Tigor,Tata,10.5,7,30000,5.51,
Tigor,Tata,10.5,7,50000,5.13,
Tigor,Tata,10.5,7,80000,4.84,
Tigor,Tata,10.5,8,30000,5.15,
Tigor,Tata,10.5,8,50000,4.96,
Tigor,Tata,10.5,8,80000,4.44,
Nexon,Tata,14.74,4,30000,10.1,
Nexon,Tata,14.74,4,50000,9.43,
Nexon,Tata,14.74,4,80000,8.95,
Nexon,Tata,14.74,5,30000,9.23,
Nexon,Tata,14.74,5,50000,9.12,
Nexon,Tata,14.74,5,80000,8.42,
Nexon,Tata,14.74,6,30000,8.61,
Nexon,Tata,14.74,6,50000,8.39,
Nexon,Tata,14.74,6,80000,8.21,
Nexon,Tata,14.74,7,30000,7.73,
Nexon,Tata,14.74,7,50000,7.37,
Nexon,Tata,14.74,7,80000,7.12,
Nexon,Tata,14.74,8,30000,7.55,
Nexon,Tata,14.74,8,50000,7.32,
Nexon,Tata,14.74,8,80000,7,
C3,cetroin,11.35,4,30000,7.35,
C3,cetroin,11.35,4,50000,6.99,
C3,cetroin,11.35,4,80000,6.23,
C3,cetroin,11.35,5,30000,7.04,
C3,cetroin,11.35,5,50000,6.51,
C3,cetroin,11.35,5,80000,5.98,
C3,cetroin,11.35,6,30000,6.67,
C3,cetroin,11.35,6,50000,6.13,
C3,cetroin,11.35,6,80000,5.7,
C3,cetroin,11.35,7,30000,6.47,
C3,cetroin,11.35,7,50000,6.02,
C3,cetroin,11.35,7,80000,5.17,
C3,cetroin,11.35,8,30000,6.3,
C3,cetroin,11.35,8,50000,5.82,
C3,cetroin,11.35,8,80000,5.38,
XUV 3XO,Mahindra,15.19,4,30000,11.05,
XUV 3XO,Mahindra,15.19,4,50000,10.64,
XUV 3XO,Mahindra,15.19,4,80000,9.29,
XUV 3XO,Mahindra,15.19,5,30000,10.49,
XUV 3XO,Mahindra,15.19,5,50000,9.61,
XUV 3XO,Mahindra,15.19,5,80000,8.59,
XUV 3XO,Mahindra,15.19,6,30000,9.92,
XUV 3XO,Mahindra,15.19,6,50000,9.54,
XUV 3XO,Mahindra,15.19,6,80000,8.89,
XUV 3XO,Mahindra,15.19,7,30000,9.5,
XUV 3XO,Mahindra,15.19,7,50000,8.89,
XUV 3XO,Mahindra,15.19,7,80000,8.56,
XUV 3XO,Mahindra,15.19,8,30000,9.32,
XUV 3XO,Mahindra,15.19,8,50000,8.85,
XUV 3XO,Mahindra,15.19,8,80000,8.36,
Astor,MG,18.7,4,30000,15.31,
Astor,MG,18.7,4,50000,14.79,
Astor,MG,18.7,4,80000,12.84,
Astor,MG,18.7,5,30000,14.27,
Astor,MG,18.7,5,50000,13.66,
Astor,MG,18.7,5,80000,12.89,
Astor,MG,18.7,6,30000,13.8,
Astor,MG,18.7,6,50000,12.94,
Astor,MG,18.7,6,80000,12.58,
Astor,MG,18.7,7,30000,11.63,
Astor,MG,18.7,7,50000,10.6,
Astor,MG,18.7,7,80000,10.09,
Astor,MG,18.7,8,30000,10.46,
Astor,MG,18.7,8,50000,9.87,
Astor,MG,18.7,8,80000,9.38,
Tata,Punch,11.12,4,30000,9.83,
Tata,Punch,11.12,4,50000,8.68,
Tata,Punch,11.12,4,80000,8.43,
Tata,Punch,11.12,5,30000,9.06,
Tata,Punch,11.12,5,50000,8.25,
Tata,Punch,11.12,5,80000,8.07,
Tata,Punch,11.12,6,30000,8.45,
Tata,Punch,11.12,6,50000,7.66,
Tata,Punch,11.12,6,80000,7.08,
Tata,Punch,11.12,7,30000,7.93,
Tata,Punch,11.12,7,50000,6.72,
Tata,Punch,11.12,7,80000,6.27,
Tata,Punch,11.12,8,30000,7.82,
Tata,Punch,11.12,8,50000,6.48,
Tata,Punch,11.12,8,80000,6.21,
